Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Datetime,,,,,
2025-12-29 14:30:00+00:00,273.3699951171875,274.20001220703125,272.4049987792969,272.5,1175115
2025-12-29 14:35:00+00:00,274.114013671875,274.3599853515625,273.1000061035156,273.3999938964844,367741
2025-12-29 14:40:00+00:00,273.6650085449219,274.3500061035156,273.5299987792969,274.1400146484375,283460
2025-12-29 14:45:00+00:00,273.8949890136719,273.9700012207031,273.489990234375,273.69000244140625,219129
2025-12-29 14:50:00+00:00,274.0,274.07000732421875,273.5617980957031,273.88641357421875,202191
2025-12-29 14:55:00+00:00,273.8599853515625,274.010009765625,273.739990234375,274.0050048828125,145984
2025-12-29 15:00:00+00:00,273.54998779296875,273.989013671875,273.45001220703125,273.8699951171875,204775
2025-12-29 15:05:00+00:00,273.25,273.67999267578125,273.25,273.55010986328125,256183
2025-12-29 15:10:00+00:00,273.1099853515625,273.375,272.9200134277344,273.2460021972656,188960
2025-12-29 15:15:00+00:00,273.2900085449219,273.4200134277344,273.11151123046875,273.1199951171875,189906
2025-12-29 15:20:00+00:00,273.7699890136719,273.7898864746094,273.239990234375,273.29998779296875,238151
2025-12-29 15:25:00+00:00,273.9543151855469,274.0198974609375,273.760009765625,273.760009765625,233476
2025-12-29 15:30:00+00:00,273.8999938964844,273.9700012207031,273.7900085449219,273.95001220703125,147201
2025-12-29 15:35:00+00:00,273.8949890136719,274.0299987792969,273.8500061035156,273.9100036621094,179376
2025-12-29 15:40:00+00:00,273.760009765625,273.989990234375,273.739990234375,273.8949890136719,141201
2025-12-29 15:45:00+00:00,273.4150085449219,273.79998779296875,273.3800048828125,273.7650146484375,158382
2025-12-29 15:50:00+00:00,273.3999938964844,273.4200134277344,272.989990234375,273.3999938964844,166748
2025-12-29 15:55:00+00:00,273.260009765625,273.5050048828125,273.260009765625,273.3924865722656,136193
2025-12-29 16:00:00+00:00,273.2099914550781,273.4100036621094,273.2099914550781,273.25,92040
2025-12-29 16:05:00+00:00,273.20001220703125,273.44000244140625,273.135009765625,273.239990234375,117096
2025-12-29 16:10:00+00:00,273.29998779296875,273.45001220703125,273.1300048828125,273.2149963378906,110879
2025-12-29 16:15:00+00:00,273.260009765625,273.30999755859375,273.1600036621094,273.2850036621094,90135
2025-12-29 16:20:00+00:00,273.2799987792969,273.2900085449219,273.07000732421875,273.2699890136719,96975
2025-12-29 16:25:00+00:00,273.2200012207031,273.3599853515625,273.1387939453125,273.29998779296875,97153
2025-12-29 16:30:00+00:00,273.010009765625,273.2900085449219,272.9700012207031,273.21881103515625,105582
2025-12-29 16:35:00+00:00,272.9599914550781,273.1300048828125,272.8800048828125,273.0,101853
2025-12-29 16:40:00+00:00,273.0199890136719,273.04998779296875,272.8299865722656,272.95001220703125,125296
2025-12-29 16:45:00+00:00,273.114990234375,273.1300048828125,272.9599914550781,273.0249938964844,111206
2025-12-29 16:50:00+00:00,273.239990234375,273.25,273.07000732421875,273.1095886230469,107736
2025-12-29 16:55:00+00:00,273.1499938964844,273.2699890136719,273.1000061035156,273.25,102059
2025-12-29 17:00:00+00:00,273.1799011230469,273.2850036621094,273.1099853515625,273.1499938964844,85379
2025-12-29 17:05:00+00:00,273.1000061035156,273.2099914550781,273.0700988769531,273.1600036621094,91408
2025-12-29 17:10:00+00:00,273.1099853515625,273.19000244140625,273.010009765625,273.1000061035156,105312
2025-12-29 17:15:00+00:00,273.090087890625,273.2799987792969,273.05999755859375,273.1050109863281,89552
2025-12-29 17:20:00+00:00,273.2099914550781,273.2300109863281,273.090087890625,273.1000061035156,52783
