algorithm,MAE,RMSE,R2,directional_accuracy,time_seconds,samples
KLMS,0.30287254258353596,0.44987921015111215,0.8118604802288721,0.570281124497992,0.03648638725280762,230
KNLMS,0.3028725853919505,0.4498792528564619,0.8118604445101094,0.570281124497992,0.035040855407714844,230
KAPA,0.3101549543492466,0.4570236163343328,0.8058374495362867,0.6104417670682731,0.04935717582702637,230
KRLS,0.2917390167867172,0.42979871587239865,0.8282809764099381,0.5903614457831325,0.040634870529174805,230
ARF,0.412199250633869,0.6024436235102488,0.6626187001039149,0.4738955823293173,0.0564122200012207,230
KNN,0.49250607319863654,0.694079180211611,0.5521771825665649,0.4738955823293173,0.008537769317626953,230
SGBR,0.5498680893163279,0.7527339981027135,0.473290384325601,0.4738955823293173,0.012802839279174805,230
